"Function Name","Grid
Dimensions","Block
Dimensions","Start Time
(μs)","Duration
(μs)","Occupancy","Registers
per Thread","Static Shared
Memory per
Block (bytes)","Dynamic Shared
Memory per
Block (bytes)","Cache
Configuration
Executed","Global
Caching
Requested","Global
Caching
Executed","Local Memory
per Thread
(bytes)","Device
Name","Context
ID","Stream
ID","Process
Name","Occupancy [0]:
Allocated Warps
Per Block","Occupancy [0]:
Allocated Registers
Per Block","Occupancy [0]:
Allocated Shared Memory
Per Block","Occupancy [0]:
Max Block Limit
Warps","Occupancy [0]:
Max Block Limit
Registers","Occupancy [0]:
Max Block Limit
Shared Memory","Occupancy [0]:
Block Limit Reason"
"costVolumOnGPU2","{6912, 1, 1}","{16, 16, 1}","129897,824","773,448","0,75","37","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","10240","0","8","6","2147483647","Registers"
"costVolumOnGPU2","{6912, 1, 1}","{16, 16, 1}","135514,309","771,911","0,75","37","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","10240","0","8","6","2147483647","Registers"
"sumArraysOnGPU","{1728, 1, 1}","{64, 1, 1}","120111,313","18,817","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","2","1024","0","32","64","2147483647","Warps, Blocks"
"sumArraysOnGPU","{1728, 1, 1}","{64, 1, 1}","121370,259","18,209","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","2","1024","0","32","64","2147483647","Warps, Blocks"
"x_derivativeOnGPU","{108, 1, 1}","{1024, 1, 1}","129602,129","36,834","1","21","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","24576","0","2","2","2147483647","Warps, Registers"
"x_derivativeOnGPU","{108, 1, 1}","{1024, 1, 1}","129640,147","35,073","1","21","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","24576","0","2","2","2147483647","Warps, Registers"
"x_derivativeOnGPU","{108, 1, 1}","{1024, 1, 1}","135185,588","38,146","1","21","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","24576","0","2","2","2147483647","Warps, Registers"
"x_derivativeOnGPU","{108, 1, 1}","{1024, 1, 1}","135225,238","35,266","1","21","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","24576","0","2","2","2147483647","Warps, Registers"
"chToFlOnGPU","{864, 1, 1}","{128, 1, 1}","149016,722","10,177","1","9","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","4","2048","0","16","32","2147483647","Warps"
"rowSum","{1, 1, 1}","{1024, 1, 1}","149899,776","505,754","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
