"Function Name","Grid
Dimensions","Block
Dimensions","Start Time
(μs)","Duration
(μs)","Occupancy","Registers
per Thread","Static Shared
Memory per
Block (bytes)","Dynamic Shared
Memory per
Block (bytes)","Cache
Configuration
Executed","Global
Caching
Requested","Global
Caching
Executed","Local Memory
per Thread
(bytes)","Device
Name","Context
ID","Stream
ID","Process
Name","Occupancy [0]:
Allocated Warps
Per Block","Occupancy [0]:
Allocated Registers
Per Block","Occupancy [0]:
Allocated Shared Memory
Per Block","Occupancy [0]:
Max Block Limit
Warps","Occupancy [0]:
Max Block Limit
Registers","Occupancy [0]:
Max Block Limit
Shared Memory","Occupancy [0]:
Block Limit Reason"
"costVolumOnGPU2","{375396, 1, 1}","{16, 16, 1}","1693086,22","35213,694","0,75","37","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","10240","0","8","6","2147483647","Registers"
"costVolumOnGPU2","{375396, 1, 1}","{16, 16, 1}","1945241,913","35088,687","0,75","37","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","8","10240","0","8","6","2147483647","Registers"
"sumArraysOnGPU","{93849, 1, 1}","{64, 1, 1}","1291008,389","737,662","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","2","1024","0","32","64","2147483647","Warps, Blocks"
"sumArraysOnGPU","{93849, 1, 1}","{64, 1, 1}","1303136,646","736,126","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","2","1024","0","32","64","2147483647","Warps, Blocks"
"x_derivativeOnGPU","{5866, 1, 1}","{1024, 1, 1}","1681689,243","1285,236","1","21","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","24576","0","2","2","2147483647","Warps, Registers"
"x_derivativeOnGPU","{5866, 1, 1}","{1024, 1, 1}","1682975,983","1286,837","1","21","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","24576","0","2","2","2147483647","Warps, Registers"
"x_derivativeOnGPU","{5866, 1, 1}","{1024, 1, 1}","1933596,961","1288,148","1","21","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","24576","0","2","2","2147483647","Warps, Registers"
"x_derivativeOnGPU","{5866, 1, 1}","{1024, 1, 1}","1934886,389","1281,876","1","21","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","24576","0","2","2","2147483647","Warps, Registers"
"chToFlOnGPU","{46925, 1, 1}","{128, 1, 1}","2587063,575","317,741","1","9","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","4","2048","0","16","32","2147483647","Warps"
"rowSum","{2, 1, 1}","{1024, 1, 1}","2620915,313","6847,509","1","12","0","0","PREFER_SHARED","ON","ON","0","GeForce GTX 1080","1","1","stereo_matching_cuda.exe","32","16384","0","2","4","2147483647","Warps"
