"Source","Destination","Queue Time
(μs)","Submit Time
(μs)","Start Time
(μs)","Duration
(μs)","Size
(bytes)","Rate
(MB/s)","Device
ID","Context
ID","Stream
ID","Runtime API
Call ID","Process
ID"
"HostUnpinned","Device","","","11,653,243.150","744.958","6006336","7689.1","0","1","1","7005","24984"
"HostUnpinned","Device","","","7,143,100.966","747.486","6006336","7663.1","0","1","1","3570","24984"
"HostUnpinned","Device","","","11,654,188.180","772.383","6006336","7416.1","0","1","1","7006","24984"
"HostUnpinned","Device","","","7,142,118.911","774.783","6006336","7393.2","0","1","1","3569","24984"
"Device","HostUnpinned","","","2,814,141.732","796.224","6006336","7194.1","0","1","1","253","24984"
"Device","HostUnpinned","","","11,657,085.928","801.504","6006336","7146.7","0","1","1","7015","24984"
"HostUnpinned","Device","","","4,350,661.516","3,208.225","24025344","7141.8","0","1","1","1438","24984"
"HostUnpinned","Device","","","2,513,888.774","804.289","6006336","7121.9","0","1","1","132","24984"
"HostUnpinned","Device","","","6,370,262.867","3,217.601","24025344","7120.9","0","1","1","3070","24984"
"HostUnpinned","Device","","","7,963,567.535","3,218.241","24025344","7119.5","0","1","1","4060","24984"
"HostUnpinned","Device","","","6,377,218.986","3,219.777","24025344","7116.1","0","1","1","3072","24984"
"HostUnpinned","Device","","","3,334,942.617","3,220.578","24025344","7114.4","0","1","1","622","24984"
"HostUnpinned","Device","","","5,875,081.244","3,224.641","24025344","7105.4","0","1","1","2664","24984"
"HostUnpinned","Device","","","9,816,252.563","3,226.721","24025344","7100.8","0","1","1","5553","24984"
"HostUnpinned","Device","","","4,357,573.122","3,227.458","24025344","7099.2","0","1","1","1440","24984"
"HostUnpinned","Device","","","7,970,461.571","3,229.153","24025344","7095.5","0","1","1","4062","24984"
"Device","HostUnpinned","","","11,656,152.098","807.393","6006336","7094.5","0","1","1","7014","24984"
"HostUnpinned","Device","","","11,397,686.877","3,230.913","24025344","7091.6","0","1","1","6837","24984"
"HostUnpinned","Device","","","4,318,566.261","3,233.250","24025344","7086.5","0","1","1","1410","24984"
"HostUnpinned","Device","","","7,877,628.275","3,233.474","24025344","7086.0","0","1","1","3983","24984"
"HostUnpinned","Device","","","6,331,222.130","3,234.018","24025344","7084.8","0","1","1","3040","24984"
"HostUnpinned","Device","","","9,227,674.786","3,234.753","24025344","7083.2","0","1","1","5082","24984"
"HostUnpinned","Device","","","5,367,131.623","3,235.202","24025344","7082.2","0","1","1","2256","24984"
"HostUnpinned","Device","","","6,026,309.733","3,235.297","24025344","7082.0","0","1","1","2787","24984"
"HostUnpinned","Device","","","4,826,092.075","3,235.618","24025344","7081.3","0","1","1","1818","24984"
"HostUnpinned","Device","","","9,220,689.931","3,236.097","24025344","7080.2","0","1","1","5080","24984"
"HostUnpinned","Device","","","9,640,042.126","3,237.857","24025344","7076.4","0","1","1","5411","24984"
"HostUnpinned","Device","","","5,521,207.293","3,238.562","24025344","7074.9","0","1","1","2379","24984"
"HostUnpinned","Device","","","8,221,463.869","3,239.106","24025344","7073.7","0","1","1","4266","24984"
"HostUnpinned","Device","","","11,239,761.498","3,239.137","24025344","7073.6","0","1","1","6712","24984"
"HostUnpinned","Device","","","5,617,414.782","3,239.553","24025344","7072.7","0","1","1","2459","24984"
"HostUnpinned","Device","","","9,809,395.105","3,239.554","24025344","7072.7","0","1","1","5551","24984"
"HostUnpinned","Device","","","9,385,737.622","3,241.057","24025344","7069.4","0","1","1","5207","24984"
"HostUnpinned","Device","","","8,929,489.321","3,242.049","24025344","7067.2","0","1","1","4846","24984"
"HostUnpinned","Device","","","6,080,210.558","3,242.145","24025344","7067.0","0","1","1","2836","24984"
"HostUnpinned","Device","","","6,883,949.048","3,243.746","24025344","7063.5","0","1","1","3480","24984"
"HostUnpinned","Device","","","7,714,750.628","3,244.033","24025344","7062.9","0","1","1","3857","24984"
"HostUnpinned","Device","","","8,329,717.759","3,244.226","24025344","7062.5","0","1","1","4346","24984"
"HostUnpinned","Device","","","5,613,976.116","3,244.578","24025344","7061.7","0","1","1","2458","24984"
"HostUnpinned","Device","","","10,956,012.037","3,244.609","24025344","7061.7","0","1","1","6480","24984"
"HostUnpinned","Device","","","3,754,783.384","3,245.411","24025344","7059.9","0","1","1","953","24984"
"HostUnpinned","Device","","","11,154,112.389","3,245.442","24025344","7059.9","0","1","1","6635","24984"
